proto_lang	daughter_lang	family	daughter_is_proto	proto_ipa	daughter_ipa	raw
PIE	Classical Armenian	ie	False	pħteːr	հայր	հայր
PIE	Classical Armenian	ie	False	pħteːr	յօրայ	յօրայ
PIE	Proto-Celtic	ie	True	pħteːr	ɸatiːr	ɸatīr
PIE	Proto-Germanic	ie	True	pħteːr	fadeːr	fadēr
PIE	Proto-Hellenic	ie	True	pħteːr	pateːr	patḗr
PIE	Proto-Indo-Iranian	ie	True	pħteːr	phtaː	phtā́
PIE	Proto-Italic	ie	True	pħteːr	pateːr	patēr
PIE	Tocharian A	ie	False	pħteːr	paːcar	pācar
PIE	Tocharian B	ie	False	pħteːr	paːcer	pācer
PIE	Classical Armenian	ie	False	meħteːr	մայր	մայր
PIE	Proto-Balto-Slavic	ie	True	meħteːr	maːˀteː	mā́ˀtē
PIE	Proto-Celtic	ie	True	meħteːr	maːtiːr	mātīr
PIE	Proto-Germanic	ie	True	meħteːr	moːdeːr	mōdēr
PIE	Proto-Hellenic	ie	True	meħteːr	maːteːr	mā́tēr
PIE	Proto-Indo-Iranian	ie	True	meħteːr	mahtaː	máhtā
PIE	Proto-Italic	ie	True	meħteːr	maːteːr	mātēr
PIE	Classical Armenian	ie	False	dwoh	երկու	երկու
PIE	Classical Armenian	ie	False	dwoh	կրկին	կրկին
PIE	Proto-Balto-Slavic	ie	True	dwoh	duwoːˀ	duwōˀ
PIE	Proto-Celtic	ie	True	dwoh	duwo	duwo
PIE	Proto-Germanic	ie	True	dwoh	twai	twai
PIE	Proto-Hellenic	ie	True	dwoh	duwo	dúwo
PIE	Proto-Indo-Iranian	ie	True	dwoh	dwah	dwáh
PIE	Proto-Italic	ie	True	dwoh	duoː	duō
PIE	Tocharian A	ie	False	dwoh	wu	wu
PIE	Tocharian B	ie	False	dwoh	wi	wi
PIE	Classical Armenian	ie	False	treyes	երեք	երեք
PIE	Proto-Balto-Slavic	ie	True	treyes	trijes	tríjes
PIE	Proto-Celtic	ie	True	treyes	triːs	trīs
PIE	Proto-Germanic	ie	True	treyes	þriːz	þrīz
PIE	Proto-Hellenic	ie	True	treyes	treyes	tréyes
PIE	Proto-Indo-Iranian	ie	True	treyes	trayas	tráyas
PIE	Proto-Italic	ie	True	treyes	treːs	trēs
PIE	Proto-Balto-Slavic	ie	True	nokʷts	naktis	náktis
PIE	Proto-Celtic	ie	True	nokʷts	noxs	noxs
PIE	Proto-Germanic	ie	True	nokʷts	nahts	nahts
PIE	Proto-Hellenic	ie	True	nokʷts	nukts	nukts
PIE	Ancient Greek	ie	False	nokʷts	νυξ	νύξ
PIE	Proto-Indo-Iranian	ie	True	nokʷts	nakts	nákts
PIE	Sanskrit	ie	False	nokʷts	नक्त्	नक्त्
PIE	Proto-Italic	ie	True	nokʷts	nokts	nokts
PIE	Latin	ie	False	nokʷts	nox	nox
PIE	Classical Armenian	ie	False	kʲeːr	սիրտ	սիրտ
PIE	Proto-Balto-Slavic	ie	True	kʲeːr	seːr	śḗr
PIE	Proto-Celtic	ie	True	kʲeːr	kridyom	kridyom
PIE	Proto-Germanic	ie	True	kʲeːr	hertô	hertô
